Plik,Algorytm,Przebieg,NPCR_Poczatek,UACI_Poczatek,NPCR_Srodek,UACI_Srodek,NPCR_Koniec,UACI_Koniec
images/white.tiff,DES-CBC (C),1,99.58610535,33.35729412,49.81689453,16.69797860,0.00305176,0.00097686
images/white.tiff,AES-CBC (C),1,99.60632324,33.54482015,49.80163574,16.70644274,0.00610352,0.00215418
images/white.tiff,Blowfish-CBC (C),1,99.61967468,33.44453101,49.83215332,16.73383077,0.00305176,0.00094395
images/white.tiff,ChaCha20 (C),1,0.00038147,0.00000150,0.00038147,0.00000150,0.00038147,0.00000150
images/white.tiff,DES-CBC (MATLAB*),1,99.21457315,33.40621724,49.60880651,16.66469895,0.00607974,0.00181051
images/white.tiff,AES-CBC (MATLAB*),1,99.61929321,33.41344796,49.81460571,16.73748241,0.00572205,0.00223048
images/white.tiff,Blowfish-CBC (MATLAB*),1,99.62196350,33.42773138,49.80621338,16.77810669,0.00305176,0.00097387
images/white.tiff,ChaCha20 (MATLAB*),1,0.00038147,0.00000150,0.00038147,0.00000150,0.00038147,0.00000150
images/white.tiff,Chaos Circular Shifts (MATLAB),1,99.61433411,33.48442377,99.60632324,33.37274439,99.60746765,33.44967262
images/white.tiff,3D-Logistic-Chirikov (MATLAB),1,0.00000000,0.00000000,0.00190735,0.00028124,0.00114441,0.00019447
images/white.tiff,Chaos Bit Shuffling (MATLAB - Orig),1,99.61662292,33.40867435,99.61662292,33.40866538,99.61662292,33.40850082
images/white.tiff,Chaos Bit Shuffling (MATLAB* - Opt),1,99.61662292,33.40867435,99.61662292,33.40867435,99.61662292,33.40866837
images/white.tiff,Hyperchaotic and 2D Sensing (MATLAB*),1,99.66621399,33.47643235,99.62005615,33.49416995,99.89547729,33.32974901
images/white.tiff,Hu & Tian - Two-Stage Logistic (MATLAB*),1,0.00038147,0.00000150,0.00038147,0.00000150,0.00038147,0.00000150
images/white.tiff,Hyperchaotic Adaptive (MATLAB*),1,99.73793030,53.11371598,99.73831177,53.19408342,99.73869324,53.19540136
images/white.tiff,AES (Pixel/ECB Mode),1,0.00610352,0.00197018,0.00610352,0.00200758,0.00610352,0.00166949
images/white.tiff,DES (Pixel/ECB Mode),1,0.00305176,0.00114441,0.00305176,0.00105166,0.00305176,0.00116236
