Plik,Algorytm,Przebieg,NPCR_Poczatek,UACI_Poczatek,NPCR_Srodek,UACI_Srodek,NPCR_Koniec,UACI_Koniec
images/lena_gray_256.tif,DES-CBC (C),1,99.65515137,33.35440841,49.80926514,16.62830428,0.01220703,0.00515807
images/lena_gray_256.tif,AES-CBC (C),1,99.60174561,33.47100351,49.81689453,16.71671549,0.02441406,0.01002891
images/lena_gray_256.tif,Blowfish-CBC (C),1,99.63684082,33.60674690,49.80773926,16.70839796,0.01220703,0.00353046
images/lena_gray_256.tif,ChaCha20 (C),1,0.00152588,0.00000598,0.00152588,0.00000598,0.00152588,0.00000598
images/lena_gray_256.tif,DES-CBC (MATLAB*),1,98.84025496,33.15127598,49.41331436,16.55738060,0.02422444,0.00648360
images/lena_gray_256.tif,AES-CBC (MATLAB*),1,99.61700439,33.29759785,49.82452393,16.71922272,0.02441406,0.00779096
images/lena_gray_256.tif,Blowfish-CBC (MATLAB*),1,99.61853027,33.43454997,49.80316162,16.66330375,0.01220703,0.00564874
images/lena_gray_256.tif,ChaCha20 (MATLAB*),1,0.00152588,0.00000598,0.00152588,0.00000598,0.00152588,0.00000598
images/lena_gray_256.tif,Chaos Circular Shifts (MATLAB),1,99.60479736,33.31684187,99.61853027,33.38388480,99.60937500,33.46881941
images/lena_gray_256.tif,3D-Logistic-Chirikov (MATLAB),1,0.00000000,0.00000000,0.00152588,0.00001197,0.00457764,0.00058043
images/lena_gray_256.tif,Chaos Bit Shuffling (MATLAB - Orig),1,99.58648682,33.47686768,99.58648682,33.47707113,99.63531494,33.50337010
images/lena_gray_256.tif,Chaos Bit Shuffling (MATLAB* - Opt),1,99.62921143,33.66490383,99.62921143,33.66452086,99.63684082,33.58133353
images/lena_gray_256.tif,Hyperchaotic and 2D Sensing (MATLAB*),1,99.67651367,33.65188898,99.96337891,33.43175551,99.69940186,33.56589523
images/lena_gray_256.tif,Hu & Tian - Two-Stage Logistic (MATLAB*),1,0.00152588,0.00000598,0.00152588,0.00000598,0.00152588,0.00000598
images/lena_gray_256.tif,Hyperchaotic Adaptive (MATLAB*),1,99.62158203,33.56553620,99.63073730,33.28710818,99.60174561,33.44888725
images/lena_gray_256.tif,AES (Pixel/ECB Mode),1,0.02288818,0.00668993,0.02441406,0.00628303,0.02441406,0.00727635
images/lena_gray_256.tif,DES (Pixel/ECB Mode),1,0.01220703,0.00493068,0.01220703,0.00508626,0.01220703,0.00460756
