Image_File,Algorithm,Run_Index,Time_Enc_s,Time_Dec_s,NPCR_percent,UACI_percent,Entropy,Corr_Hor,Corr_Ver,Corr_Diag
images/pl23_con00216.jpg,DES-CBC (C),1,0.08239500,0.07097700,83.018601,27.893019,7.999973,-0.000472,0.010684,-0.004067
images/pl23_con00216.jpg,AES-CBC (C),1,0.00497200,0.00228600,83.019218,27.902083,7.999974,-0.002858,0.010757,-0.017978
images/pl23_con00216.jpg,Blowfish-CBC (C),1,0.03863700,0.03494200,83.016351,27.888042,7.999974,-0.022827,-0.012809,0.008071
images/pl23_con00216.jpg,ChaCha20 (C),1,0.00189100,0.00161300,0.000014,0.000000,7.999975,-0.013402,-0.003606,-0.013547
images/pl23_con00216.jpg,DES-CBC (MATLAB*),1,110.42397800,0.42029800,82.956331,27.864715,7.999890,0.013707,-0.003621,0.025014
images/pl23_con00216.jpg,AES-CBC (MATLAB*),1,42.62237700,2.16112600,83.018999,27.872088,7.999977,0.002865,-0.006081,0.002096
images/pl23_con00216.jpg,Blowfish-CBC (MATLAB*),1,24.94926500,0.33079800,83.015377,27.890987,7.999974,-0.013686,0.003694,0.016817
images/pl23_con00216.jpg,ChaCha20 (MATLAB*),1,0.67565300,0.63290700,0.000014,0.000001,7.999976,0.007215,0.011008,-0.009509
images/pl23_con00216.jpg,Chaos Circular Shifts (MATLAB),1,2.70851000,2.03603500,99.610082,33.480295,7.999975,0.001415,-0.000753,0.012959
images/pl23_con00216.jpg,3D-Logistic-Chirikov (MATLAB),1,62.05390500,61.90600500,0.000014,0.000002,7.999965,-0.013721,0.032419,-0.008423
images/pl23_con00216.jpg,Chaos Bit Shuffling (MATLAB - Orig),1,86.39374800,228.26970000,0.000000,0.000000,7.999928,-0.011939,-0.010281,-0.007278
images/pl23_con00216.jpg,Chaos Bit Shuffling (MATLAB* - Opt),1,11.96858700,8.78406800,0.000000,0.000000,7.999918,-0.021926,0.024739,0.001371
images/pl23_con00216.jpg,Hyperchaotic and 2D Sensing (MATLAB*),1,0.76316100,0.08416400,0.000000,0.000000,7.999932,-0.003753,0.000655,-0.033717
images/pl23_con00216.jpg,Hu & Tian - Two-Stage Logistic (MATLAB*),1,0.32430400,0.27401700,0.000000,0.000000,7.999936,-0.019320,-0.005100,-0.007044
images/pl23_con00216.jpg,Hyperchaotic Adaptive (MATLAB*),1,28.42842900,31.83959000,99.613868,33.471402,7.999195,-0.006767,-0.016187,0.015688
